Generic 1 1 2 3
9.9923e+05,286.044,5.007
1.00065e+06,286.073,5.024
1.54073e+06,294.665,10.541
1.67191e+06,296.082,11.838
2.06979e+06,300.165,16.42
2.23287e+06,302.405,18.382
2.57122e+06,307.715,22.063
2.75313e+06,310.391,24.649
3.0819e+06,314.92,32.351
3.1902e+06,316.399,35.533
3.6124e+06,321.55,48.591
3.6365e+06,321.781,49.383
4.0396e+06,323.501,63.139
4.1342e+06,323.439,66.542
4.5275e+06,320.768,81.542
4.6483e+06,319.222,86.124
5.3182e+06,307.763,108.377
5.3388e+06,307.346,108.97
6.1319e+06,288.127,127.738
6.1913e+06,286.537,128.841
6.9187e+06,267.179,139.436
7.3869e+06,255.036,144.106
7.7925e+06,244.65,146.784
8.4281e+06,229.356,148.641
8.8863e+06,219.817,148.696
9.6377e+06,206.073,147.264
1.01695e+07,197.268,145.714
1.10455e+07,184.503,142.78
1.18673e+07,174.705,139.471
1.27444e+07,166.016,135.724
1.51334e+07,147.552,126.166
1.54114e+07,145.82,125.154
1.88249e+07,129.754,114.491
1.90156e+07,129.05,113.978
2.38785e+07,114.417,103.36
2.40472e+07,113.995,103.077
2.9804e+07,101.678,95.822
2.9862e+07,101.57,95.763
